Log Data for Client IPAddres: 172.16.179.33 Pid: 19524
Log Data for Client IPAddres: 172.16.179.33 Pid: 19524
Model exist
Loading Q params .......
Number Push: ,50
Start Training...
iteration ,1,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,41,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,42,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,43,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,44,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,45,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,46,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,47,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,48,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,49,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,50,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,51,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,52,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,53,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,54,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,55,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,56,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,57,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,58,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,59,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,60,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,61,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,62,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,63,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,64,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,65,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,66,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,67,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,68,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,69,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,70,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,71,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,72,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,73,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,74,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,75,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,76,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,77,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,78,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,79,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,80,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,81,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,82,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,83,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,84,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,85,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,86,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,87,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,88,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,89,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,90,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,91,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,92,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,93,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,94,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,95,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,96,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,97,No of clients perticipant in the updation,3,Updated Global Model Params.
iteration ,98,No of clients perticipant in the updation,3,Updated Global Model Params.
"
Total number of epochs: 4909"
"
Time Elapsed:",0:56:27.463894
"
Mean Learning Time:",0:00:00.002670
MAX Learning Time:,0:00:00.004883
MIN Learning Time:,0:00:00.001952
"
Mean Communication Time:",0:00:34.303515
MAX Communication Time:,0:00:34.354882
MIN Communication Time:,0:00:34.283479
"
Total Learning Time:->",0:00:00.261703
"
Total Communication delay:->",0:56:01.744487
"
Mean time for epoch:",0:00:00.687425
MIN time for epoch:,0:00:00
MAX time for epoch:,0:00:34.356835
"
Total time for epoch:->",0:56:15.255344
"
Total time for testing:->",0:00:12.166552
